id,grade,unit,unit_label,question,choice1,choice2,choice3,choice4,answer
55,1,physics,物理,焦点距離が10cmの凸レンズで、物体をレンズから20cmの位置に置いた。できる像の位置はレンズから何cmか？,20cm（物体と同じ側）,30cm（物体と同じ側）,20cm（物体と反対側）,10cm（物体と反対側）,3
56,1,physics,物理,焦点距離が12cmの凸レンズで、物体を24cmの位置に置いたとき、できた像の特徴として正しいものは？,物体と同じ大きさの実像,大きく上下左右が逆に見える虚像,小さく上下左右が逆に見える実像,映らない,1
57,1,physics,物理,物体をレンズから24cmの位置に置いたとき、物体と像の距離が同じになった。このときの焦点距離は？,6cm,12cm,24cm,48cm,2
58,1,physics,物理,物体をレンズから60cmの位置に置いたとき、像が物体よりも小さく見えた。このとき考えられる焦点距離として最も適切なのはどれか？,20cm,30cm,40cm,50cm,1
59,1,physics,物理,音はどのようにして発生するか？,電流が流れる,光が当たる,物体が振動する,温度が上がる,3
60,1,physics,物理,音が伝わるとき、実際に空気の粒が移動するか？,移動する,少しだけ移動する,移動しない,音の種類による,3
61,1,physics,物理,音はどのように空気中を伝わるか？,電気として,波として,熱として,光として,2
62,1,physics,物理,真空中で音が伝わらないのはなぜか？,空気が冷たいから,振動が速すぎるから,空気分子がないから,音が弱いから,3
63,1,physics,物理,次の物質の中で、音が最も速く伝わるのはどれか？,空気,水,木材,鉄,4
64,1,physics,物理,空気中での音の速さは約何m/sか？,約150m/s,約340m/s,約1000m/s,約5950m/s,2
65,1,physics,物理,水中での音の速さは空気中よりどうか？,遅い,同じ,少しだけ速い,速い,4
66,1,physics,物理,音を伝えることができないものはどれか？,空気,水,鉄,真空,4
67,1,physics,物理,振幅が大きいと、音はどう聞こえるか？,小さくなる,高くなる,低くなる,大きくなる,4
68,1,physics,物理,振動数が多い音はどのように聞こえるか？,高い音,小さい音,低い音,音が消える,1
69,1,physics,物理,振幅とは何を表すか？,音の長さ,音の大きさ,音の高さ,音の種類,2
70,1,physics,物理,振動数の単位として正しいものはどれか？,W（ワット）,dB（デシベル）,Hz（ヘルツ）,m（メートル）,3
71,1,physics,物理,大きな音とはどんな波か？,波の高さが小さい,波の高さが大きい,波の幅が狭い,波の間隔が広い,2
72,1,physics,物理,高い音とはどんな波か？,波の高さが高い,波の間隔が短い,波の間隔が長い,波がゆっくり動く,2
73,1,physics,物理,人に聞こえないほど高い音を何というか？,超低音,赤外音,超音波,無音波,3
74,1,physics,物理,弦を強くはじくとどうなるか？,音が高くなる,音が低くなる,音が大きくなる,音が聞こえない,3
75,1,physics,物理,弦の長さが短いほど音はどうなるか？,高くなる,低くなる,小さくなる,大きくなる,1
76,1,physics,物理,弦が細いほど音はどうなるか？,低くなる,高くなる,小さくなる,聞こえない,2
77,1,physics,物理,弦を強く張ると音はどうなるか？,小さくなる,高くなる,低くなる,弱くなる,2
78,1,physics,物理,音の大きさと関係があるのはどれか？,振幅,振動数,周期,波長,1
79,1,physics,物理,音の高さと関係があるのはどれか？,振幅,振動数,音速,速さ,2
80,1,physics,物理,同じ太さの弦で音を高くしたいとき、どうするか？,弦を長くする,弦を短くする,ゆるく張る,ゆっくり振動させる,2
81,1,physics,物理,音の速さを計算する式はどれか？,時間 ÷ 距離,距離 ÷ 時間,振幅 × 振動数,高さ × 音の大きさ,2
82,1,physics,物理,雷の光が見えてから3秒後に音が聞こえた。雷までの距離は約何m？（音速340m/s）,約340m,約680m,約1020m,約2040m,3
83,1,physics,物理,崖に向かって大声を出したところ、2秒後に声が返ってきた。崖までの距離は約何mか？（音速340m/s）,約170m,約340m,約510m,約680m,1
84,1,physics,物理,鉄の中での音の速さはどれくらいか？,約1500m/s,約340m/s,約2000m/s,約5950m/s,4
85,1,physics,物理,ギターや音叉などで、他のものに音がうつって大きくなる現象を何というか？,拡散,反響,共鳴,振幅,3
86,1,physics,物理,人が聞くことができる音の高さ（可聴音）の振動数の範囲として正しいものはどれか？,約1～100Hz,約20～20000Hz,約100～50000Hz,約200～1000Hz,2
87,1,physics,物理,振動数が20000Hzをこえる、人には聞こえない高い音を何というか？,低周波,可聴音,超音波,超低音,3
88,1,physics,物理,水中での音の速さとして最も適切なものはどれか？,約340m/s,約800m/s,約1500m/s,約5950m/s,3
89,1,physics,物理,超音波とされるのは、振動数が何Hz以上の音か？,約1000Hz以上,約10000Hz以上,約20000Hz以上,約50000Hz以上,3
90,1,physics,物理,次のうち、「力のはたらき」として正しく ない ものはどれか？,物体の形を変える,物体を支える,物体の速さを変える,物体の色を変える,4
91,1,physics,物理,力の単位として正しいものはどれか？,kg,cm,N,W,3
92,1,physics,物理,1Nは約何gのおもりの重さに等しいか？,約1g,約10g,約100g,約1000g,3
93,1,physics,物理,地球が物体を中心に向かって引く力を何というか？,磁力,摩擦力,重力,垂直抗力,3
94,1,physics,物理,ばねを引っ張ったときに元に戻ろうとする力を何というか？,弾性力,摩擦力,重力,引力,1
95,1,physics,物理,接している面が物体を支える力を何というか？,引力,弾性力,重力,垂直抗力,4
96,1,physics,物理,摩擦力の説明として正しいものはどれか？,離れている物体間にはたらく,動きを助ける方向にはたらく,接して動く物体の動きを妨げる向きにはたらく,光を反射する,3
97,1,physics,物理,フックの法則ではたらく関係はどれか？,力の大きさは伸びに比例しない,力の大きさはばねの伸びに比例する,力が大きいとばねは短くなる,力に関係なく一定に伸びる,2
98,1,physics,物理,ばねの伸びが2倍になるのはどんなときか？,おもりの数が減ったとき,おもりを2倍にしたとき,弾性力がなくなったとき,垂直抗力がはたらかなくなったとき,2
99,1,physics,物理,力の3要素にふくまれないものはどれか？,大きさ,向き,作用点,時間,4
100,1,physics,物理,力を矢印で表すとき、矢印の向きは何を表すか？,作用点,力の向き,力の大きさ,力の種類,2
101,1,physics,物理,力の矢印で、矢印の長さは何を表すか？,力の大きさ,力の速さ,力の強さ,力の距離,1
102,1,physics,物理,力の矢印で、矢印のはじまりの点は何を表すか？,力の種類,方向,作用点,結果,3
103,1,physics,物理,重さは場所によってどうなるか？,変わらない,変わる,月では変わらない,どこでも同じ,2
104,1,physics,物理,質量は場所が変わるとどうなるか？,大きくなる,小さくなる,変わらない,重くなる,3
105,1,physics,物理,月で重さが約1/6になるのに対し、質量はどうなるか？,約1/6になる,約2倍になる,地球より重くなる,変わらない,4
106,1,physics,物理,つり合う2力の大きさの関係として正しいものは？,どちらも0になる,一方が大きい,等しい,関係ない,3
107,1,physics,物理,つり合う2力の向きの関係は？,同じ方向,反対の方向,どちらでもよい,同じ線上ではない,2
108,1,physics,物理,つり合う2力はどのような直線上にあるか？,平行線上,同一直線上,垂直に交わる,交わらない,2
109,1,physics,物理,天井からおもりをつるしたとき、つり合っている力の組み合わせは？,おもりと磁力,重力とばねばかり,重力と張力,弾性力と摩擦力,3
110,1,physics,物理,机の上に物体を置いたとき、物体にはたらくつり合いの力の組み合わせは？,重力と摩擦力,垂直抗力と重力,弾性力と重力,重力と磁力,2
111,1,physics,物理,物体に2つの力がはたらいて動かないとき、その2力の関係は？,力が打ち消し合っている,どちらかが消える,合力が大きい,反発している,1
112,1,physics,物理,天井からおもりを糸でつるしたとき、つり合っている力の組み合わせは？,おもりにはたらく重力と糸の張力,おもりにはたらく重力と糸の弾性力,おもりにはたらく重力と垂直抗力,糸の張力とおもりにはたらく垂直抗力,1
113,1,physics,物理,机の上に物体を置いたとき、物体にはたらくつり合いの力の組み合わせは？,物体にはたらく重力と摩擦力,物体にはたらく垂直抗力と重力,物体にはたらく摩擦力と机の弾性力,物体にはたらく重力と机の張力,2
114,1,physics,物理,1個のおもりでばねが2cmのびた。ばねを6cmのばすには、おもりを何個つるせばよいか？,1個,2個,3個,6個,3
115,1,physics,物理,2個のおもりでばねが4cmのびた。同じばねに3個のおもりをつるすと、ばねののびは何cmになるか？,5cm,6cm,8cm,9cm,2
116,1,physics,物理,Aのばねはおもり2個で4cmのびた。Bのばねはおもり2個で2cmしかのびなかった。どちらのばねに大きな力がはたらいているか？,Aのばね,Bのばね,どちらも同じ,比べられない,3
117,1,physics,物理,Aのばねにはおもり2個をつるし、Bのばねにはおもり1個をつるした。Aのばねは3cm、Bのばねは5cmのびた。このとき、どちらのばねにはたらく力が大きいか？,Aのばね,Bのばね,どちらも同じ,わからない,1
118,1,physics,物理,ばねののびと力の大きさの関係を表すグラフとして正しいものはどれか？（ばねののびが力に比例する）,原点を通る右上がりの直線,原点を通る右下がりの直線,原点を通らない曲線,横に平らな直線,1
119,1,chemistry,化学,ガスバーナーを使う前に最初に確認すべきことはどれか？,空気調節ねじが開いていること,ガス元栓が閉まっていること,コックを開く,ガス調節ねじが開いていること,2
120,1,chemistry,化学,ガスバーナーの炎が安定するのはどんなときか？,空気が全く入らない,空気を少し入れる,空気を全開にする,空気を途中で止める,2
121,1,chemistry,化学,右利きの人が上皿てんびんで物体の質量を測るとき、分銅を置く場所はどこか？,左の皿,右の皿,指針の上,おもりの上,2
122,1,chemistry,化学,電子てんびんで重さを量るとき、最初にするべき操作はどれか？,皿をはずす,表示をゼロにする,分銅を乗せる,目盛りを読む,2
123,1,chemistry,化学,メスシリンダーの目盛りの読み方で正しいのはどれか？,上から見る,横から見る,下から見る,目の高さを液面に合わせる,4
124,1,chemistry,化学,物の形や大きさに注目したとき、それを何というか？,物質,成分,物体,材料,3
125,1,chemistry,化学,「鉄」「銅」「アルミニウム」などをまとめた言い方はどれか？,非金属,合金,鉱物,金属,4
126,1,chemistry,化学,金属の性質としてあてはまらないものはどれか？,電気を通す,磁石につく,光沢がある,たたいて広がる,2
127,1,chemistry,化学,非金属の例として正しいものはどれか？,銅,鉄,ガラス,アルミニウム,3
128,1,chemistry,化学,密度の計算に使う式はどれか？,質量 ÷ 体積,質量 × 体積,体積 ÷ 質量,重さ÷ 体積,1
129,1,chemistry,化学,密度の単位として正しいものはどれか？,g,cm³/g,g/cm³,N/cm³,3
130,1,chemistry,化学,密度が物質ごとに決まっていることでできることは？,発光できる,電気を通す,区別できる,密封できる,3
131,1,chemistry,化学,水に鉄の玉を入れたところ沈んだ。このとき正しいことは？,水より鉄の玉の方が、密度が小さい,水より鉄の玉の方が、密度が大きい,水と鉄の玉の密度が同じ,水が軽くなった,2
132,1,chemistry,化学,密度が水より小さい物体を水に入れるとどうなるか？,沈む,溶ける,浮く,途中まで沈む,3
133,1,chemistry,化学,有機物とは何をふくむ物質か？,水素,酸素,二酸化炭素,炭素,4
134,1,chemistry,化学,無機物の例として正しいものはどれか？,紙,木,ガラス,プラスチック,3
135,1,chemistry,化学,有機物を燃やすと出る気体はどれか？,酸素,窒素,二酸化炭素,水素,3
136,1,chemistry,化学,有機物を燃やすとビンの内側につくものは？,水滴,塩酸,炭素,酢酸,1
137,1,chemistry,化学,密度の単位として正しいものはどれか？,m/s,J/cm³,g/L,N/m,3
138,1,chemistry,化学,質量を変えず、体積を小さくした物質の密度はどうなるか？,小さくなる,大きくなる,変わらない,計算できない,2
139,1,chemistry,化学,密度を求めるとき、体積は何で測るか？,温度計,メスシリンダー,上皿てんびん,はかり,2
140,1,chemistry,化学,鉄の密度の計算に使われた方法はどれか？,圧力計測,電流測定,水の体積の増加を見る,鉄の長さを測る,3
141,1,chemistry,化学,鉄の塊の体積を調べるために使う道具は？,体温計,電子てんびん,ビーカー,メスシリンダー,4
142,1,chemistry,化学,金属に多く見られる性質でないものはどれか？,展性,電気伝導性,磁性,延性,3
143,1,chemistry,化学,プラスチック、鉄、ガラスなど、物の材料に注目したとき、それらは何と呼ばれるか？,物体,成分,物質,部品,3
144,1,chemistry,化学,上皿てんびんで薬品の質量をはかるとき、薬品を直接皿にのせずに使うものはどれか？,ティッシュペーパー,薬品用の小皿,リトマス紙,薬包紙,4
145,1,chemistry,化学,上皿てんびんの指針が左右に等しく振れたとき、何を判断することができるか？,物体が重すぎる,まだつりあっていない,てんびんが故障している,つりあっている,4
146,1,chemistry,化学,質量が40g、体積が20cm³の物体の密度はどれか？,0.5g/cm³,2.0g/cm³,20g/cm³,60g/cm³,2
147,1,chemistry,化学,液体の密度が1.2g/cm³、物体の密度が1.8g/cm³である。この物体をその液体に入れるとどうなるか？,沈む,溶ける,浮く,途中まで沈む,1
148,1,chemistry,化学,密度が1.5g/cm³の物質が30cm³あるとき、この物質の質量は何gか？,20g,30g,45g,60g,3
149,1,chemistry,化学,質量が60g、密度が2.0g/cm³の物質の体積は何cm³か？,120cm³,30cm³,20cm³,15cm³,2
150,1,chemistry,化学,メスシリンダーの目盛りの間を読み取るとき、目分量として読み取る最小目盛りは？,1分の1,10分の1,100分の1,1000分の1,2
151,1,chemistry,化学,有機物の例として正しいものはどれか？,炭素,二酸化炭素,食塩,砂糖,4
152,1,chemistry,化学,水に溶けにくく、空気より密度が大きい気体の集め方はどれか？,上方置換法,水上置換法,下方置換法,吸引法,3
153,1,chemistry,化学,空気に最も多く含まれる気体はどれか？,酸素,二酸化炭素,窒素,水素,3
154,1,chemistry,化学,酸素の集め方として適切なものはどれか？,上方置換法,下方置換法,水上置換法,吸引法,3
155,1,chemistry,化学,二酸化マンガンとオキシドールを混ぜると発生する気体はどれか？,二酸化炭素,酸素,窒素,アンモニア,2
156,1,chemistry,化学,石灰石にうすい塩酸を加えて発生する気体はどれか？,二酸化炭素,酸素,水素,窒素,1
157,1,chemistry,化学,酸素の性質として正しいものはどれか？,水に非常に溶けやすい,火のついた線香を近づけると消える,燃えやすく助燃性がある,空気より密度が小さい,3
158,1,chemistry,化学,二酸化炭素の性質として正しいものはどれか？,酸性を示す,助燃性がある,水に非常に溶ける,無色有臭,1
159,1,chemistry,化学,気体の性質を調べるときに使う液体で、酸性を示すと黄色になるものはどれか？,石灰水,BTB溶液,アンモニア水,フェノールフタレイン溶液,2
160,1,chemistry,化学,水上置換法が適している気体の特徴はどれか？,水に溶けやすい,密度が重い,水に溶けにくい,密度が軽い,3
161,1,chemistry,化学,酸素の発生に使う試薬の組み合わせとして正しいものはどれか？,石灰石とうすい塩酸,アンモニア水と水酸化ナトリウム,過酸化水素水と二酸化マンガン,塩酸と亜鉛,3
162,1,chemistry,化学,水に最もよく溶ける気体はどれか？,水素,アンモニア,酸素,窒素,2
163,1,chemistry,化学,アンモニアの性質として正しいものはどれか？,密度が大きい,水に溶けにくい,刺激臭がある,中性を示す,3
164,1,chemistry,化学,水素の集め方として適切なものはどれか？,上方置換法,下方置換法,水上置換法,ろ過,3
165,1,chemistry,化学,水素の性質で正しいものはどれか？,水に溶けやすく重い,密度が大きく沈む,燃えるとき音を立てる,無色有臭,3
166,1,chemistry,化学,アンモニアの集め方として適切なものはどれか？,下方置換法,水上置換法,上方置換法,ろ過,3
167,1,chemistry,化学,石灰水を白くにごらせる気体はどれか？,酸素,アンモニア,窒素,二酸化炭素,4
168,1,chemistry,化学,水素の発生方法として正しいものはどれか？,石灰石にうすい塩酸を加える,亜鉛にうすい塩酸を加える,水酸化ナトリウムにアンモニア水を加える,BTB溶液を加える,2
169,1,chemistry,化学,アンモニアは水に溶けるとどんな性質を示すか？,酸性,中性,アルカリ性,塩基性ではない,3
170,1,chemistry,化学,酸素は何性を示すか？,中性,酸性,アルカリ性,強塩基性,1
171,1,chemistry,化学,水素は空気よりも密度がどうか？,大きい,小さい,同じ,比較できない,2
172,1,chemistry,化学,二酸化炭素を発生させる薬品の組み合わせはどれか？,過酸化水素水と二酸化マンガン,石灰石とうすい塩酸,アンモニア水と水酸化ナトリウム,亜鉛とうすい塩酸,2
173,1,chemistry,化学,水素の確認方法として正しいものはどれか？,火を近づけると線香が消える,火を近づけると音を立てて燃える,石灰水を白くにごらせる,BTB溶液が黄色になる,2
174,1,chemistry,化学,気体の集め方で、密度が空気より小さいときに使う方法はどれか？,水上置換法,下方置換法,上方置換法,濾過法,3
175,1,chemistry,化学,アンモニア水にリトマス紙をつけるとどうなるか？,赤色になる,青色になる,無色になる,変化しない,2
176,1,chemistry,化学,空気に含まれる気体で、助燃性をもつのはどれか？,酸素,窒素,二酸化炭素,水素,1
177,1,chemistry,化学,水上置換法を使って気体を集めるメリットとして正しいものはどれか？,色がついた気体がよく見える,気体が空気とまじりにくい,気体が早く冷える,水に溶けやすい気体を集められる,2
178,1,chemistry,化学,水上置換法を使って気体を集めるメリットとして適切なものはどれか？,気体が水に溶けやすくなる,水に溶けた物質がわかる,気体の量が目で見てわかる,気体の温度が下がる,3
179,1,chemistry,化学,気体を集めるとき、最初の気体をすぐに集めてはいけない理由として最も適切なものはどれか？,反応がまだ始まっていないから,器具が冷えているから,最初に出る気体に空気が混ざっているから,気体の色が安定していないから,3
180,1,chemistry,化学,空気中に最も多く含まれる気体は窒素です。では、空気中の窒素の体積の割合として最も近いものはどれか？,約21%,約30%,約58%,約78%,4
181,1,chemistry,化学,空気中に含まれる酸素の体積の割合として最も近いものはどれか？,約6%,約12%,約21%,約50%,3
182,1,chemistry,化学,空気中に約0.9%程度含まれている気体として、最も適切なものはどれか？,水素,二酸化炭素,アルゴン,メタン,3
183,1,chemistry,化学,過炭酸ナトリウムにある液体を加えると酸素が発生する。この液体として適切なものはどれか？,湯,酢,エタノール,食塩水,1
184,1,chemistry,化学,ジャガイモやレバー、大根おろしにかけると酸素が発生するのはどの液体か？,水酸化ナトリウム,うすい塩酸,過酸化水素水,石灰水,3
185,1,chemistry,化学,オキシドールを使って酸素を発生させるとき、二酸化マンガンの代わりに使うことができる身近なものはどれか？,食塩,食酢,きざんだ野菜,砂糖,3
186,1,chemistry,化学,次のうち、うすい塩酸をかけても二酸化炭素が発生しないものはどれか？,石灰石,貝がら,大理石,鉄くぎ,4
187,1,chemistry,化学,炭酸水素ナトリウムにある液体を加えると、二酸化炭素が発生する。この液体はどれか？,水,うすい酢酸,食塩水,アンモニア水,2
188,1,chemistry,化学,湯の中にある粉末を入れると、二酸化炭素が発生した。この粉末として最も適切なものはどれか？,砂糖,食塩,炭酸水素ナトリウム,塩化カルシウム,3
189,1,chemistry,化学,弱火で加熱すると分解して二酸化炭素を発生させる物質はどれか？,硫酸,食塩水,炭酸水,砂糖水,3
190,1,chemistry,化学,窒素の性質として不適切なものはどれか？,空気中に多く含まれている,燃焼を助ける性質がある,無色・無臭である,化学的に反応しにくい,2
191,1,chemistry,化学,気体のにおいを調べるときの正しい方法として最も適切なものはどれか？,試験管に鼻を近づけて深く吸い込む,においを確認しない（してはいけない）,手であおいでにおいをかぐ,試験管をふって空気を送り込む,3
192,1,chemistry,化学,次のうち、水素を発生させる反応の組み合わせとして最も適切なものはどれか？,石灰石とうすい塩酸,マグネシウムとうすい硫酸,アンモニア水と塩酸,二酸化マンガンと過酸化水素水,2
193,1,chemistry,化学,アンモニア水を弱火で熱すると、どのような気体が発生するか？,酸素,二酸化炭素,水素,アンモニア,4
194,1,chemistry,化学,塩化アンモニウムに水酸化カルシウムを加えて加熱すると、アンモニアが発生する。このときの加える薬品として適切なものはどれか？,食塩水,石灰水,水酸化カルシウム,アンモニア水,3
195,1,chemistry,化学,アンモニアの噴水実験で、フラスコ内のアンモニアが水に溶けるとどうなるか？,水が出なくなる,アンモニアが泡立つ,内部の圧力が高まり水が吸い込まれる,青い液が濃くなる,3
196,1,chemistry,化学,アンモニアの噴水実験で、噴き出した水が赤色に変わった。この水に入っていた液体として最も適切なものはどれか？,BTB溶液,石灰水,フェノールフタレイン溶液,リトマス液,3
197,1,chemistry,化学,塩化アンモニウムと水酸化カルシウムを混ぜたものを加熱してアンモニアを発生させるとき、試験管の口を底より少し下げて加熱するのはなぜか？,アンモニアがよく見えるようにするため,発生したアンモニアが試験管内にたまらないようにするため,試験管の中の液体が流れ出ないようにするため,発生した液体が試験管の底（加熱部）に流れないようにするため,4
198,1,chemistry,化学,塩酸とは、ある気体を水に溶かした水溶液である。この気体として最も適切なものはどれか？,アンモニア,塩化水素,二酸化炭素,酸素,2
199,1,chemistry,化学,水に物質が溶けてできた液体を何というか？,溶媒,溶液,溶質,触媒,2
200,1,chemistry,化学,水溶液のうち、物質が水にとけて目に見えなくなるものを何というか？,溶媒,溶液,溶質,触媒,2
201,1,chemistry,化学,水に溶けている物質のことを何というか？,溶媒,溶液,溶質,触媒,3
202,1,chemistry,化学,水などの、物質を溶かす液体のことを何というか？,溶媒,溶液,溶質,触媒,1
203,1,chemistry,化学,砂糖水は時間が経っても濃さが変わらない。このような特徴を持つ液体はどれ？,懸濁液,水溶液,乳濁液,沈殿液,2
204,1,chemistry,化学,水に溶けた砂糖の粒子はどのように広がっているか？,底に沈む,一部にかたまる,均一に広がる,表面に浮かぶ,3
205,1,chemistry,化学,水溶液が透明に見えるのはなぜか？,粒子が大きいため,色がついているため,粒子が水中に均一に広がるため,粒子が沈殿するため,3
206,1,chemistry,化学,水にとけた粒子が見えないのはなぜか？,溶けると色が消えるから,粒子が細かく、均一に広がるから,水の色にまぎれるから,底に沈むから,2
